"Description","N","DE","P.DE","FDR"
"Neomycin, kanamycin and gentamicin biosynthesis",5,0,1.00000000006269,1
"Glycosaminoglycan degradation",19,0,1,1
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",21,0,1,1
"Glycosaminoglycan biosynthesis - keratan sulfate",14,0,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",28,0,1,1
"Glycosphingolipid biosynthesis - globo and isoglobo series",16,0,1,1
"Glycosphingolipid biosynthesis - ganglio series",15,0,1,1
"Thiamine metabolism",15,0,1,1
"Riboflavin metabolism",8,0,1,1
"Vitamin B6 metabolism",6,0,1.00000000005062,1
"Biotin metabolism",3,0,1.00000000001914,1
"Lipoic acid metabolism",19,0,1,1
"Porphyrin metabolism",43,0,1,1
"Sulfur metabolism",10,0,1,1
"Metabolism of xenobiotics by cytochrome P450",67,0,1,1
"Drug metabolism - cytochrome P450",61,0,1,1
"Drug metabolism - other enzymes",71,0,1,1
"Nucleotide metabolism",83,0,1,1
"Sulfur cycle",2,0,1.00000000004823,1
"Platinum drug resistance",68,0,1,1
"RNA polymerase",32,0,1,1
"Virion - Human immunodeficiency virus",5,0,1.00000000004021,1
"Virion - Flavivirus and Alphavirus",6,0,1.0000000000211,1
"Virion - Herpesvirus",8,0,1,1
"Virion - Adenovirus",4,0,1.00000000000991,1
"Virion - Rotavirus",2,0,1.00000000004438,1
"Nucleotide excision repair",58,0,1,1
"Mismatch repair",23,0,1,1
"Non-homologous end-joining",13,0,1,1
"ErbB signaling pathway",84,0,1,1
"Viral protein interaction with cytokine and cytokine receptor",94,0,1,1
"Sulfur relay system",8,0,1,1
"SNARE interactions in vesicular transport",32,0,1,1
"Apoptosis - multiple species",32,0,1,1
"Ferroptosis",41,0,1,1
"Hippo signaling pathway - multiple species",29,0,1,1
"Renin-angiotensin system",23,0,1,1
"Circadian rhythm",34,0,1,1
"GABAergic synapse",89,0,1,1
"Phototransduction",28,0,1,1
"Ovarian steroidogenesis",52,0,1,1
"Estrogen signaling pathway",136,0,1,1
"Regulation of lipolysis in adipocytes",57,0,1,1
"Collecting duct acid secretion",27,0,1,1
"Amphetamine addiction",69,0,1,1
"Nicotine addiction",40,0,1,1
"African trypanosomiasis",36,0,1,1
"Malaria",49,0,1,1
"Chemical carcinogenesis - DNA adducts",58,0,1,1
"Acute myeloid leukemia",66,0,1,1
