"ENTREZID","SYMBOL","GENENAME"
"3358","HTR2C","5-hydroxytryptamine receptor 2C"
"338872","C1QTNF9","C1q and TNF related 9"
"339501","PRSS38","serine protease 38"
"339751","MAP3K20-AS1","MAP3K20 antisense RNA 1"
"339768","ESPNL","espin like"
"339789","LINC00299","long intergenic non-protein coding RNA 299"
"340273","ABCB5","ATP binding cassette subfamily B member 5"
"3425","IDUA","alpha-L-iduronidase"
"344148","NCKAP5","NCK associated protein 5"
"344191","EVX2","even-skipped homeobox 2"
"344558","SH3RF3","SH3 domain containing ring finger 3"
"3486","IGFBP3","insulin like growth factor binding protein 3"
"3490","IGFBP7","insulin like growth factor binding protein 7"
"3516","RBPJ","recombination signal binding protein for immunoglobulin kappa J region"
"3574","IL7","interleukin 7"
"3600","IL15","interleukin 15"
"3622","ING2","inhibitor of growth family member 2"
"3631","INPP4A","inositol polyphosphate-4-phosphatase type I A"
"3652","IPP","intracisternal A particle-promoted polypeptide"
"3658","IREB2","iron responsive element binding protein 2"
"3707","ITPKB","inositol-trisphosphate 3-kinase B"
"374355","CCDC172","coiled-coil domain containing 172"
"374470","C12orf42","chromosome 12 open reading frame 42"
"374569","ASPG","asparaginase"
"375035","SFT2D2","SFT2 domain containing 2"
"375775","PNPLA7","patatin like domain 7, lysophospholipase"
"3761","KCNJ4","potassium inwardly rectifying channel subfamily J member 4"
"377677","CA13","carbonic anhydrase 13"
"3800","KIF5C","kinesin family member 5C"
"3814","KISS1","KiSS-1 metastasis suppressor"
"3831","KLC1","kinesin light chain 1"
"3832","KIF11","kinesin family member 11"
"3849","KRT2","keratin 2"
"387","RHOA","ras homolog family member A"
"387119","CEP85L","centrosomal protein 85L"
"387129","NPSR1","neuropeptide S receptor 1"
"387755","INSC","INSC spindle orientation adaptor protein"
"39","ACAT2","acetyl-CoA acetyltransferase 2"
"391","RHOG","ras homolog family member G"
"3913","LAMB2","laminin subunit beta 2"
"3955","LFNG","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"3993","LLGL2","LLGL scribble cell polarity complex component 2"
"399948","COLCA1","colorectal cancer associated 1"
"4000","LMNA","lamin A/C"
"4057","LTF","lactotransferrin"
"4061","LY6E","lymphocyte antigen 6 family member E"
"406952","MIR17","microRNA 17"
"406953","MIR18A","microRNA 18a"
"407028","MIR302A","microRNA 302a"
"407738","TAFA1","TAFA chemokine like family member 1"
"407975","MIR17HG","miR-17-92a-1 cluster host gene"
"408","ARRB1","arrestin beta 1"
"4091","SMAD6","SMAD family member 6"
"414777","HCG18","HLA complex group 18"
"4163","MCC","MCC regulator of Wnt signaling pathway"
"4175","MCM6","minichromosome maintenance complex component 6"
"421","ARVCF","ARVCF delta catenin family member"
"432","ASGR1","asialoglycoprotein receptor 1"
"4361","MRE11","MRE11 double strand break repair nuclease"
"440944","THUMPD3-AS1","THUMPD3 antisense RNA 1"
"442894","MIR302B","microRNA 302b"
"442895","MIR302C","microRNA 302c"
"442896","MIR302D","microRNA 302d"
